timestamp,provider,model,question,raw_response,extracted_answer,is_yes,trial_idx,temperature
2025-08-30T07:01:04.766542+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,0,0.0
2025-08-30T07:01:05.672557+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,1,0.0
2025-08-30T07:01:06.362477+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,2,0.0
2025-08-30T07:01:07.400329+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,3,0.0
2025-08-30T07:01:08.065742+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,4,0.0
2025-08-30T07:01:08.613873+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,5,0.0
2025-08-30T07:01:09.114467+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,6,0.0
2025-08-30T07:01:09.669400+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,7,0.0
2025-08-30T07:01:10.285660+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,8,0.0
2025-08-30T07:01:10.994484+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,9,0.0
2025-08-30T07:01:11.644246+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,10,0.0
2025-08-30T07:01:12.225490+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,11,0.0
2025-08-30T07:01:12.787902+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,12,0.0
2025-08-30T07:01:13.968172+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,13,0.0
2025-08-30T07:01:14.410439+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,14,0.0
2025-08-30T07:01:15.408915+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,15,0.0
2025-08-30T07:01:15.811501+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,16,0.0
2025-08-30T07:01:17.243782+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,17,0.0
2025-08-30T07:01:17.753445+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,18,0.0
2025-08-30T07:01:18.884963+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,19,0.0
2025-08-30T07:01:19.393214+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,20,0.0
2025-08-30T07:01:20.008735+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,21,0.0
2025-08-30T07:01:20.529252+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,22,0.0
2025-08-30T07:01:21.339471+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,23,0.0
2025-08-30T07:01:21.715627+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,24,0.0
2025-08-30T07:01:22.201859+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,25,0.0
2025-08-30T07:01:22.876079+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,26,0.0
2025-08-30T07:01:23.489282+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,27,0.0
2025-08-30T07:01:24.105591+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,28,0.0
2025-08-30T07:01:24.719321+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,29,0.0
2025-08-30T07:01:25.845633+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,30,0.0
2025-08-30T07:01:26.608555+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,31,0.0
2025-08-30T07:01:27.075725+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,32,0.0
2025-08-30T07:01:27.587246+00:00,openai,gpt-3.5-turbo-0125,Is a 'baby stroller' a 'vehicle'?,No,No,0,33,0.0
