question_index,question,question_label,subset,set,statute,provider,model,prompt_variation,temperature,trial_idx,raw_text,extracted_answer,is_yes,api_status,response_time,timestamp
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-0125,normal,0.0,0,Yes,Yes,1,success,0.4351379871368408,2025-08-28T03:31:20.023712+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-0125,normal,0.0,1,Yes,Yes,1,success,0.398669958114624,2025-08-28T03:31:20.524539+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-0125,normal,0.0,2,Yes,Yes,1,success,0.29694485664367676,2025-08-28T03:31:20.923083+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-0125,normal,0.0,3,Yes,Yes,1,success,0.4256880283355713,2025-08-28T03:31:21.450531+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-0125,normal,0.0,4,Yes,Yes,1,success,0.5021920204162598,2025-08-28T03:31:22.054357+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-0125,normal,0.5,0,Yes,Yes,1,success,0.42250871658325195,2025-08-28T03:31:22.578742+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-0125,normal,0.5,1,Yes,Yes,1,success,0.5390660762786865,2025-08-28T03:31:23.218686+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-0125,normal,0.5,2,Yes,Yes,1,success,0.6373169422149658,2025-08-28T03:31:23.957762+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-0125,normal,0.5,3,Yes,Yes,1,success,0.388322114944458,2025-08-28T03:31:24.447843+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-0125,normal,0.5,4,Yes,Yes,1,success,0.5350229740142822,2025-08-28T03:31:25.084567+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-0125,normal,1.0,0,Yes,Yes,1,success,0.4171030521392822,2025-08-28T03:31:25.603460+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-0125,normal,1.0,1,Yes.,Yes,1,success,0.4502298831939697,2025-08-28T03:31:26.155460+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-0125,normal,1.0,2,Yes,Yes,1,success,0.31441187858581543,2025-08-28T03:31:26.571529+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-0125,normal,1.0,3,Yes,Yes,1,success,0.6972270011901855,2025-08-28T03:31:27.370556+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-0125,normal,1.0,4,Yes.,Yes,1,success,0.3734562397003174,2025-08-28T03:31:27.845740+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-1106,normal,0.0,0,Yes,Yes,1,success,0.2319469451904297,2025-08-28T03:31:28.179247+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-1106,normal,0.0,1,Yes,Yes,1,success,0.5896351337432861,2025-08-28T03:31:28.870607+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-1106,normal,0.0,2,Yes,Yes,1,success,0.48895812034606934,2025-08-28T03:31:29.461406+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-1106,normal,0.0,3,Yes,Yes,1,success,1.065953016281128,2025-08-28T03:31:30.629450+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-1106,normal,0.0,4,Yes,Yes,1,success,0.43997621536254883,2025-08-28T03:31:31.171365+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-1106,normal,0.5,0,Yes,Yes,1,success,0.4547157287597656,2025-08-28T03:31:31.727150+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-1106,normal,0.5,1,Yes,Yes,1,success,0.8987977504730225,2025-08-28T03:31:32.727718+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-1106,normal,0.5,2,Yes,Yes,1,success,0.8216691017150879,2025-08-28T03:31:33.651205+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-1106,normal,0.5,3,Yes,Yes,1,success,0.58992600440979,2025-08-28T03:31:34.342831+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-1106,normal,0.5,4,Yes,Yes,1,success,0.6699237823486328,2025-08-28T03:31:35.114618+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-1106,normal,1.0,0,Yes,Yes,1,success,0.9306647777557373,2025-08-28T03:31:36.147310+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-1106,normal,1.0,1,Yes,Yes,1,success,0.324721097946167,2025-08-28T03:31:36.574234+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-1106,normal,1.0,2,Yes,Yes,1,success,0.3689570426940918,2025-08-28T03:31:37.044564+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-1106,normal,1.0,3,Yes,Yes,1,success,1.0880367755889893,2025-08-28T03:31:38.234511+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-1106,normal,1.0,4,Yes,Yes,1,success,1.6841728687286377,2025-08-28T03:31:40.020627+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-instruct,normal,0.0,0,"Yes,",Yes,1,success,0.6523902416229248,2025-08-28T03:31:40.775942+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-instruct,normal,0.0,1,"Yes,",Yes,1,success,0.6818912029266357,2025-08-28T03:31:41.559138+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-instruct,normal,0.0,2,"Yes,",Yes,1,success,0.31931281089782715,2025-08-28T03:31:41.980245+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-instruct,normal,0.0,3,"Yes,",Yes,1,success,0.5561249256134033,2025-08-28T03:31:42.638194+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-instruct,normal,0.0,4,"Yes,",Yes,1,success,0.8794267177581787,2025-08-28T03:31:43.619319+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-instruct,normal,0.5,0,"Yes,",Yes,1,success,1.1481330394744873,2025-08-28T03:31:44.869289+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-instruct,normal,0.5,1,"Yes,",Yes,1,success,0.6911430358886719,2025-08-28T03:31:45.661586+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-instruct,normal,0.5,2,"Yes,",Yes,1,success,0.5334599018096924,2025-08-28T03:31:46.296117+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-instruct,normal,0.5,3,"Yes,",Yes,1,success,0.7025232315063477,2025-08-28T03:31:47.100500+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-instruct,normal,0.5,4,"Yes,",Yes,1,success,1.158832311630249,2025-08-28T03:31:48.361538+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-instruct,normal,1.0,0,"Yes,",Yes,1,success,0.6813538074493408,2025-08-28T03:31:49.144765+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-instruct,normal,1.0,1,"Yes,",Yes,1,success,0.49549293518066406,2025-08-28T03:31:49.741467+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-instruct,normal,1.0,2,"Yes,",Yes,1,success,0.5017580986022949,2025-08-28T03:31:50.345010+00:00
2,Is a motorcycle a vehicle?,Is a motorcycle a vehicle?,motorcycle,vehicle,No vehicles in the park.,openai,gpt-3.5-turbo-instruct,normal,1.0,3,"Yes,",Yes,1,success,1.1784090995788574,2025-08-28T03:31:51.624664+00:00
